subject,W.ML,W.mean,W.median,W.MAP,W.sd,W.lower,W.upper,Wlog.mean,Wlog.sd,MAP.BIC
0,0.0025390625,0.00715079590122,0.00683100588448,0.00156321569911,0.00460548971248,0.00022398380308,0.0153601091151,-5.23556931475,0.936320286188,3.21887582487
1,0.014892578125,0.0166438202344,0.0156155564958,0.0149150581471,0.00477802722176,0.00863335155156,0.0263477004302,-4.13350515303,0.271284585686,8.62269063453
2,0.01318359375,0.0150457343974,0.0144693814539,0.0131253424585,0.00456765413044,0.00745883672782,0.0245461060593,-4.23947927109,0.290790222181,8.64009621973
3,0.0025390625,0.00741583303402,0.00675375608099,0.000468266065398,0.00467397963826,4.6771994066e-07,0.0160754464125,-5.21182351166,1.03263632473,3.21887582487
4,0.0025390625,0.00770355834325,0.00723588639448,0.00126442091861,0.00500235337666,0.000263432207491,0.0172073500765,-5.16905344459,0.907727438391,3.21887582487
5,0.0025390625,0.00674075467386,0.0066224504989,0.0022839461409,0.00448267819073,7.65447739588e-05,0.0151835891503,-5.35498848094,1.0223512148,3.21887582487
6,0.0025390625,0.00678622451297,0.00618240483536,0.00227301898472,0.00435034838642,4.1127251652e-08,0.0145976883901,-5.34424488409,1.15958520005,3.21887582487
7,0.0025390625,0.00727947109984,0.00639507940394,0.00238834500684,0.00477090987131,2.8060446586e-05,0.0170133662771,-5.24272150702,1.00005104266,3.21887582487
8,0.0025390625,0.00665948917501,0.00618146632353,0.00228953080884,0.0045174192803,6.18287072782e-05,0.013778419213,-5.36367019097,1.01507524094,3.21887582487
9,0.0025390625,0.00736133826575,0.00658943081757,0.00116950000355,0.0052530202837,9.98351428455e-06,0.0171784327346,-5.32670414913,1.18279373215,3.21887582487
10,0.0025390625,0.00739354155518,0.00684224995576,0.00231002563285,0.00485984465102,6.35974184127e-06,0.0158360907831,-5.26934769564,1.09805706061,3.21887582487
11,0.0025390625,0.00737509916583,0.00726431098468,0.00176905277653,0.00468067594671,0.000102557451985,0.0158528580201,-5.25457286203,1.04263849017,3.21887582487
12,0.0025390625,0.00765938308397,0.00712114794825,0.00221304226483,0.00511365811591,2.48961165892e-05,0.016259350027,-5.20983211323,1.01804236093,3.21887582487
13,0.0025390625,0.0073847717634,0.00647928816223,0.00162061576883,0.00488394404286,4.67096844109e-05,0.0161077213926,-5.2328579468,1.00328773285,3.21887582487
14,0.0025390625,0.00705417269812,0.00626627499001,0.000267733858609,0.00491712595425,3.47941230405e-05,0.016322298968,-5.31424639276,1.04660241958,3.21887582487
15,0.0025390625,0.00743118924768,0.00740692588324,0.000902982323379,0.0048228057985,3.05036992365e-05,0.0164814321709,-5.24059867443,1.01870801031,3.21887582487
16,0.01318359375,0.0148919006388,0.0140510008926,0.0131515152362,0.00462409267585,0.00811799237376,0.024387646948,-4.25107700931,0.293952126479,10.0100463128
17,0.0025390625,0.00740851154728,0.00650579023004,0.00226597057124,0.00536943079104,0.000220808802233,0.0191587960722,-5.27269190463,1.0153680971,3.21887582487
18,0.0025390625,0.00697353666029,0.00643782906478,0.00201238784579,0.00469034136774,8.98999763413e-05,0.0153387967624,-5.30613779938,1.01323560005,3.21887582487
19,0.0025390625,0.00715691502858,0.00664052559915,0.000894474616814,0.00465577975821,2.00290030807e-05,0.0152611656317,-5.32701836373,1.15420273472,3.21887582487
20,0.0025390625,0.00743412726489,0.00715381669384,0.000852680136355,0.00490343529681,0.000200664463479,0.0160264983126,-5.22127848641,0.968072483054,3.21887582487
21,0.0025390625,0.00769794621723,0.00706874811317,0.00131376927391,0.00492355243189,5.20148758845e-05,0.017100191462,-5.17485025475,0.974134081191,3.21887582487
22,0.0025390625,0.00691616609821,0.00637291988671,0.00181820960037,0.0046393146423,2.14791931127e-05,0.01583121369,-5.29825342607,0.984055983091,3.21887582487
23,0.01337890625,0.0154011044613,0.0146199089042,0.0133546625104,0.00509800539394,0.00740705130448,0.0256360719003,-4.22122656229,0.302939081976,8.78501253638
24,0.0025390625,0.00746906462809,0.00698365321291,0.00204625001253,0.0050149026301,1.62109952354e-05,0.0158376343738,-5.22244336361,0.986419816933,3.21887582487
25,0.0025390625,0.00717285845958,0.00660617891518,0.00126837594895,0.00485902565363,2.39533960747e-05,0.0155088061172,-5.28928742349,1.02166158392,3.21887582487
26,0.0025390625,0.0080564495839,0.0077032351492,0.00102950202614,0.00510206601497,1.14329233632e-05,0.0172401867262,-5.12941615749,1.00293186583,3.21887582487
27,0.01337890625,0.0151034839582,0.0144179417938,0.0133785247672,0.00425711232492,0.0081408250083,0.0237267108101,-4.23040910488,0.27274514958,8.78493387365
28,0.013671875,0.0160254744468,0.0152157952755,0.0136350869914,0.00469212151295,0.00808435835009,0.0261489455491,-4.17356234656,0.280908825147,7.56050902635
29,0.0025390625,0.00740186935987,0.00658193742604,0.00235612906836,0.00517122833623,2.83640984649e-05,0.017133269709,-5.27540467917,1.05532307976,3.21887582487
30,0.0025390625,0.00730046162183,0.00679981095767,0.00180114421043,0.00494797846363,2.3387548273e-05,0.0160481266009,-5.33038308573,1.18133450578,3.21887582487
31,0.0025390625,0.00702715703915,0.0067450691777,0.00101853416188,0.00446069038752,1.00193350289e-05,0.0147890975143,-5.25499246409,0.941535908622,3.21887582487
32,0.0025390625,0.00739730740203,0.00679828434579,0.000381425499684,0.00499704791045,0.000240239349145,0.0162542737791,-5.2481632456,0.990018293439,3.21887582487
33,0.0025390625,0.00751615936689,0.00657197862299,0.00187875117585,0.00502996700524,1.46235068926e-05,0.0172796887331,-5.21445373249,1.00355739805,3.21887582487
34,0.0025390625,0.00731041819972,0.00690698604527,0.00236077929498,0.00486524118303,0.000119479168502,0.0154102657894,-5.23369765681,0.945205268012,3.21887582487
35,0.0025390625,0.0075892936685,0.00678180936645,0.00217063915852,0.00503617206661,0.000160745121761,0.0174134761629,-5.19529532236,0.940669292694,3.21887582487
36,0.0025390625,0.00741329774678,0.0070802787082,0.00238945242577,0.00481095192193,0.000473728998183,0.0173167974299,-5.21470386942,0.975110710323,3.21887582487
37,0.0025390625,0.00714929789614,0.00656332960785,0.00207344363957,0.00477918793269,1.42856524804e-05,0.0152995840241,-5.27443822115,1.00983314945,3.21887582487
38,0.0025390625,0.00738464873661,0.0072081916653,0.00120258801033,0.00493184810866,1.05263238292e-07,0.0164949696969,-5.29786193693,1.19605687517,3.21887582487
39,0.0025390625,0.00781195450692,0.00722805235134,0.00132791252053,0.00516838939055,7.61374506988e-05,0.0169962156978,-5.19364335722,1.01554365738,3.21887582487
40,0.0025390625,0.00688573769632,0.00660790706978,0.00146449228669,0.00449191088894,5.44074656312e-06,0.0151008050688,-5.3036847162,1.00124372518,3.21887582487
41,0.0025390625,0.00706211297298,0.00686850009945,0.00106157253722,0.00443263855778,8.67239824834e-05,0.0158383415551,-5.28046299114,1.01275207073,3.21887582487
42,0.0025390625,0.00702919337881,0.00667070013846,0.00224280062355,0.00467520598006,0.000154710736173,0.0155948983222,-5.27906797215,0.947406514863,3.21887582487
43,0.0025390625,0.0074384406668,0.00695076496052,0.00178862320823,0.00493713138425,8.93920220198e-05,0.0160685730725,-5.1969380605,0.893792037315,3.21887582487
44,0.0025390625,0.00711469542667,0.00661130287392,0.00109694364589,0.0048789214486,1.12236327917e-05,0.0162034797082,-5.37677711333,1.28482727178,3.21887582487
45,0.0025390625,0.007108660373,0.0066965861123,0.00218930625904,0.0045165345356,8.69056514386e-05,0.0152088655862,-5.26716327935,0.984162858237,3.21887582487
46,0.0025390625,0.00739635509585,0.0067680573042,0.000949521196065,0.00504601131604,1.42773686208e-06,0.0164112713228,-5.27757267267,1.14996619971,3.21887582487
47,0.0025390625,0.007349715761,0.00649017712571,0.00160401951245,0.00511462948215,5.06482978546e-05,0.0177030776135,-5.26524180796,1.00298395396,3.21887582487
48,0.01337890625,0.0152646746222,0.0143128152541,0.0133655301659,0.00453986243175,0.00783648965038,0.0241708962294,-4.2242961083,0.288908041512,8.78496643023
49,0.01318359375,0.0150987735749,0.014284600849,0.01318368603,0.00459899795221,0.0079473855537,0.0259282124892,-4.23537720253,0.286549823789,8.64016000574
50,0.0025390625,0.00730307436507,0.0067602840464,0.00219365435906,0.00477576980376,0.000139854998156,0.0154214068357,-5.2331034001,0.95109370258,3.21887582487
51,0.0025390625,0.0070009420131,0.00625928980697,0.00236099340832,0.0048339808779,2.25549027187e-05,0.0165556046803,-5.34474487426,1.10439931496,3.21887582487
52,0.0025390625,0.0075655268493,0.0072620282577,0.000973214601709,0.00490778204686,0.000101028232614,0.0155711336207,-5.24756812106,1.08803303876,3.21887582487
53,0.0025390625,0.00724683989384,0.00647809537061,0.000933750969033,0.00489610601904,9.14176019561e-06,0.0156657106453,-5.30369601833,1.14853240759,3.21887582487
54,0.0025390625,0.00720488878467,0.00701125476799,0.002192671009,0.0046536341075,0.000196032058401,0.0154323458673,-5.25163048082,0.955284983946,3.21887582487
55,0.0025390625,0.0071546628017,0.00660785281293,0.000891061159497,0.00496803660931,2.94538156568e-05,0.016322810318,-5.27593391001,0.986559168588,3.21887582487
56,0.0025390625,0.00660115600626,0.00636089942587,0.00230151644038,0.00440400180015,5.86217815359e-07,0.0138059260754,-5.41005578505,1.20762175747,3.21887582487
57,0.0025390625,0.00744759028414,0.00711118408757,0.00224813285214,0.00537745729175,7.33753556647e-06,0.0169473973823,-5.2787413011,1.11758281278,3.21887582487
58,0.0181640625,0.0204118873311,0.0194285056641,0.018158556286,0.00551775223866,0.0108606423774,0.0311747639606,-3.92529285887,0.256175396836,11.4650197623
59,0.013671875,0.0159696162183,0.0152365059416,0.0136320895766,0.00470090854514,0.00804906422481,0.0252052735968,-4.17810117825,0.285348871222,8.19530252758
60,0.0025390625,0.0075562663883,0.00663807158012,0.00189572861683,0.00493698140262,0.000188574765655,0.0169520809434,-5.18269080842,0.914918535015,3.21887582487
61,0.013916015625,0.0156398897603,0.0152301690697,0.0138743827474,0.00409116482711,0.00799228472765,0.0227120605853,-4.19131565947,0.259554287135,8.43850967982
62,0.0025390625,0.00725514406784,0.0066449756539,0.00180641132503,0.00458660867518,1.64326465127e-05,0.0150074061966,-5.23320524089,0.968692804408,3.21887582487
63,0.0025390625,0.00715743689037,0.00703146707675,8.67630577687e-05,0.00483995280071,6.67298394532e-06,0.016017332454,-5.29657310712,1.04817130337,3.21887582487
64,0.0025390625,0.00714703268658,0.00671397836876,0.00196325108513,0.00460983192287,0.000101960418683,0.0153431813007,-5.2547157694,0.966660468877,3.21887582487
65,0.0025390625,0.00756420464301,0.00680946948042,0.00133260589798,0.00517314804146,0.000100359832863,0.018120504935,-5.20931727885,0.959156732121,3.21887582487
66,0.0025390625,0.00706339217546,0.00656186540969,0.00131428955556,0.00491546715065,3.24789815966e-05,0.0158817657372,-5.33509329344,1.09676826188,3.21887582487
67,0.0025390625,0.00722703499785,0.00648568582658,0.00210684077236,0.00497272796402,9.64472333433e-05,0.0166249044968,-5.29961944173,1.07165777164,3.21887582487
68,0.0025390625,0.00681838502113,0.00618861759172,0.00123497678088,0.00516615329433,5.89594963277e-05,0.016108691284,-5.38101510774,1.08385791536,3.21887582487
69,0.0025390625,0.00733152192153,0.007054901502,0.00105234214519,0.00471452921263,0.00013804535571,0.0155528079481,-5.25822123747,1.04120433316,3.21887582487
70,0.014208984375,0.0164088832376,0.015275220484,0.0142069427334,0.00488900273785,0.00932809471576,0.0263618691594,-4.15101311511,0.283360612605,8.70648023432
71,0.0025390625,0.00724308426804,0.00681141078526,0.00128030061853,0.00432270805133,8.38554911483e-06,0.0149547896088,-5.2011710046,0.936785058669,3.21887582487
72,0.0025390625,0.00746028263157,0.00709429631388,0.00185016510113,0.00487967274228,0.000443196593547,0.0173477607527,-5.21155255164,0.965515200195,3.21887582487
