subject,W.ML,W.mean,W.median,W.MAP,W.sd,W.lower,W.upper,Wlog.mean,Wlog.sd,MAP.BIC
0,0.0025390625,2.11613319681,0.930846966709,50937050.1591,5.24709322713,0.355402037938,6.6058116579,0.12307332028,0.847834809397,72.5335937815
1,0.014892578125,1.36326707119,0.862108720105,1.29571066607e+12,1.86681462225,0.273025473278,3.74632682373,-0.0247082182221,0.688551171814,69.6776235497
2,0.01318359375,1.83736140463,0.905886737686,inf,5.22749889361,0.305165688285,4.31853991195,0.0699096373029,0.755845348342,71.1472995197
3,0.0025390625,5.97155224948,1.18987848642,30294166.629,23.5274264269,0.396699729363,17.0422744841,0.615650070788,1.20368904716,72.5335937137
4,0.0025390625,1.37238605569,0.896164295777,30742139.6517,2.39243334108,0.385251769244,3.9352635406,-0.0241469354202,0.651758516499,72.5335937162
5,0.0025390625,1.8320904259,0.867573548555,21935259.0006,4.129079375,0.300105914312,5.98150824195,0.0769610920991,0.796329533982,72.53359365
6,0.0025390625,1.51822184544,0.87496509125,63678960.0755,3.75602937416,0.338642522026,3.7341223076,0.0175795311748,0.691351018755,72.5335938013
7,0.0025390625,2.46575178996,0.849315852156,28148568.4026,13.2229986592,0.345399131863,3.76183328611,0.00876063421267,0.775245455567,72.533593701
8,0.0025390625,1.46742796196,0.824822693012,inf,3.07507979438,0.284067450635,3.80947841429,-0.0312591734992,0.691396673092,72.5335938809
9,0.0025390625,1.24737989782,0.86618519408,85666624.8389,1.42268740175,0.339400835247,3.22365161003,-0.0260019499563,0.604611456575,72.5335938218
10,0.0025390625,1.25286397954,0.851760486863,294040452411.0,1.35013581845,0.346173955688,3.30084696075,-0.0334452090917,0.623746018812,72.5335938808
11,0.0025390625,1.66876833487,0.820501501235,28556985.2853,5.14057436487,0.337068124018,4.62751378093,-0.0194392823761,0.735300421528,72.5335937036
12,0.0025390625,1.43013504834,0.859053455029,67988791.8516,2.15338967603,0.272834165628,4.16482231974,0.0209196689795,0.674394172078,72.5335938064
13,0.0025390625,1.44948914114,0.840060906426,103479035.62,3.264010132,0.320532018143,3.17759285885,-0.0275863451605,0.68299430229,72.5335938319
14,0.0025390625,1.30948189937,0.824411222682,75363994.7255,1.75448010055,0.34609335248,3.53570670416,-0.035217128006,0.648258853028,72.5335938137
15,0.0025390625,1.36696227376,0.822151095165,107150394.428,2.34797385386,0.295464203428,3.36061801509,-0.0565738663641,0.674002823419,72.5335938336
16,0.01318359375,1.56234098617,0.869819213896,620395303304.0,3.77819587238,0.37108834737,3.92034824696,0.0190032503108,0.692616083817,72.5335938809
17,0.0025390625,1.6618278199,0.862163558115,513445664144.0,3.44661184643,0.332588514244,4.43617834849,0.0120003035789,0.747960501259,72.5335938809
18,0.0025390625,2.10446944311,0.795093244595,26687382.3865,8.23347444855,0.336152491275,4.64070860828,-0.0112675044724,0.806398694825,72.5335936911
19,0.0025390625,1.48060011144,0.891414161907,103594456.064,2.35120472694,0.342660882165,4.56141943583,0.0197524714664,0.724675421443,72.533593832
20,0.0025390625,2.70762178667,1.14013986747,84268619.3429,6.48881930263,0.378762864989,7.19313227226,0.34975156935,0.883561601612,72.5335938208
21,0.0025390625,2.06938582276,0.904700502944,147262371.131,6.5467587402,0.315688897047,5.23243508757,0.0824249364072,0.809808864357,72.5335938465
